Time (s),X (m),Y (m)
47.2,-0.157349005983377,0.0171220540365553
47.4,-0.141399132926878,0.037900712423756
47.6,-0.120631430790681,0.0631083576671578
47.8,-0.0951786884181729,0.0921301757856554
48,-0.0654190647746731,0.124114657237456
48.2,-0.0319419950055817,0.158054919230356
48.4,0.00438929818982103,0.192855468619058
48.6,0.0425343337261239,0.227407988225355
48.8,0.0813710963116137,0.260688331289558
49,0.119840532575424,0.291847534152357
49.2,0.157031296622023,0.320268270674156
49.4,0.192250318552723,0.345603353711258
49.6,0.225009636076919,0.367765713603557
49.8,0.255058220038521,0.386907900517357
50,0.282343457250519,0.403415359627658
50.2,0.307019310047622,0.417885173785656
50.4,0.329364565106616,0.431071981850458
50.6,0.34976307098772,0.443818899489958
50.8,0.368598969917926,0.456977805859857
51,0.386246287499915,0.471325120741358
51.2,0.403031212594215,0.487486204403655
51.4,0.419257020394227,0.505884249117258
51.6,0.435205904451522,0.526720582761758
51.8,0.451165512075121,0.549979552496957
52,0.467437023096821,0.575443196068555
52.2,0.484258231206724,0.602704267040458
52.4,0.501811488069023,0.631193436973256
52.6,0.520164143830115,0.660242402551258
52.8,0.539264176843318,0.689182724394758
53,0.559094088195423,0.717446099317957
53.2,0.579578602806521,0.744623177549258
53.4,0.600564168613019,0.770482329485557
53.6,0.621759724925823,0.794975339542056
53.8,0.642818905693616,0.818246561442457
54,0.663368500067918,0.840639432439058
54.2,0.683043465630519,0.862655894598856
54.4,0.701509243434316,0.884861820948355
54.6,0.718372703206114,0.907791825707257
54.8,0.733253915065816,0.931872142057056
55,0.745834193557116,0.957377757267455
55.2,0.755896693911325,0.984403337631957
55.4,0.763328443685822,1.01282594805696
55.6,0.768034857313523,1.04228522743176
55.8,0.769967118566115,1.07220465169066
56,0.769106129010226,1.10187572331526
56.2,0.765547004014024,1.13057173168646
56.4,0.759509483816217,1.15764602066016
56.6,0.751340876296425,1.18260353652456
56.8,0.741465508985016,1.20514106354706
57,0.730424928911219,1.22517742503866
57.2,0.718788722094715,1.24286507498736
57.4,0.707192347413226,1.25857142967756
57.6,0.696264131276621,1.27282811678126
57.8,0.686539934420523,1.28628026242176
58,0.678468092884828,1.29964157362546
58.2,0.67234747355262,1.31365807292916
58.4,0.668370450843625,1.32904165147836
58.6,0.666497270001514,1.34638682799306
58.8,0.666435118145714,1.36608533359916
59,0.667671893833415,1.38827871528346
59.2,0.669583047735117,1.41284975435156
59.4,0.671536715921818,1.43943427045796
59.6,0.672923215530716,1.46742403628386
59.8,0.673179217860024,1.49597320236886
60,0.671763962664315,1.52403528933956
60.2,0.668217333853022,1.55044448961986
60.4,0.66218292020082,1.57402489014716
60.6,0.653474641256821,1.59370219566736
60.8,0.642059751866924,1.60860178050496
61,0.628076856770619,1.61813862216756
61.2,0.611922536076321,1.62209523202906
61.4,0.594224019616618,1.62066307366746
61.6,0.575841507703018,1.61442596245786
61.8,0.557686605239326,1.60428478742106
62,0.540649947695727,1.59137067260306
62.2,0.525529710935018,1.57699111202506
62.4,0.513046622673514,1.56258291208666
62.6,0.503797579549428,1.54963999352196
62.8,0.498237286597416,1.53958996282406
